"created_utc","gross","fee","net"
"2020-05-29 12:05:38","12.95","0.68","12.27"
"2020-05-29 12:42:06","12.95","0.68","12.27"
"2020-05-29 12:44:59","12.95","0.68","12.27"
"2020-05-29 12:55:59","12.95","0.68","12.27"
"2020-05-29 14:08:53","12.95","0.68","12.27"
"2020-05-29 14:25:40","12.95","0.68","12.27"
"2020-05-29 14:42:56","12.95","0.48","12.47"
"2020-05-29 15:49:31","12.95","0.68","12.27"
"2020-05-29 16:48:48","12.95","0.68","12.27"
"2020-05-29 17:50:18","12.95","0.68","12.27"
"2020-05-29 18:16:58","12.95","0.68","12.27"
"2020-05-29 19:21:09","12.95","0.68","12.27"
"2020-05-29 19:32:02","12.95","0.68","12.27"
"2020-05-29 20:03:13","12.95","0.68","12.27"
"2020-05-29 20:30:28","12.95","0.68","12.27"
"2020-05-29 20:50:36","12.95","0.68","12.27"
"2020-05-29 21:57:20","12.95","0.48","12.47"
"2020-05-29 22:49:28","12.95","0.68","12.27"
"2020-05-29 23:34:56","12.95","0.68","12.27"
"2020-05-30 00:36:11","12.95","0.68","12.27"
"2020-05-30 00:55:29","12.95","0.68","12.27"
"2020-05-30 02:18:14","12.95","0.68","12.27"
"2020-05-30 02:32:34","12.95","0.68","12.27"
"2020-05-30 02:37:19","12.95","0.68","12.27"
"2020-05-30 05:17:20","12.95","0.68","12.27"
"2020-05-30 05:40:48","49.98","1.75","48.23"
"2020-05-30 07:13:07","12.95","0.68","12.27"
"2020-05-30 08:49:35","12.95","0.68","12.27"
"2020-05-30 10:47:15","12.95","0.68","12.27"
"2020-05-30 11:42:52","12.95","0.68","12.27"
"2020-05-30 12:29:48","12.95","-15.00","27.95"
"2020-05-30 12:47:36","12.95","0.68","12.27"
"2020-05-30 13:16:08","14.79","0.73","14.06"
"2020-05-30 13:25:18","12.95","0.68","12.27"
"2020-05-30 14:20:02","12.95","0.68","12.27"
"2020-05-30 15:56:36","12.95","0.68","12.27"
"2020-05-30 15:57:59","12.00","0.65","11.35"
"2020-05-30 16:47:47","12.95","0.68","12.27"
"2020-05-30 17:34:47","12.95","0.68","12.27"
"2020-05-30 19:11:27","12.95","0.48","12.47"
"2020-05-30 19:18:52","14.79","0.73","14.06"
"2020-05-30 19:52:22","12.95","0.68","12.27"
"2020-05-30 20:53:33","12.95","0.68","12.27"
"2020-05-30 21:03:31","19.95","0.88","19.07"
"2020-05-30 21:14:05","12.95","0.68","12.27"
"2020-05-30 21:25:11","12.95","0.68","12.27"
"2020-05-30 22:20:03","12.95","0.68","12.27"
"2020-05-30 22:53:49","12.95","0.68","12.27"
"2020-05-30 23:48:00","12.95","0.68","12.27"
"2020-05-31 00:26:40","19.95","0.88","19.07"
